2026-04-26T23:36:00Z	framework-hardening	TRAIL	bug-031-from-pcc	multi-commit	pcc-side BUG-031 (NOAEL pane display-consistency, 2026-04-26) triggered a five-commit framework hardening trail in this repo: (1) lattice:487797e -- BUG-031 hardening: CLAUDE.md rule 18 (algorithm defensibility on real data), commands/lattice/review.md SCIENCE-FLAG rebuttal protocol (3 acceptable rebuttals: fix / data-grounded / explicit user defer; plumbing-only forbidden) + Step 6 ALGORITHM CHECK subsection (mandatory when algorithmic-code paths staged), commands/ops/bug-stress.md Step 8 (5-question retro mandatory after every fix), scripts/write-review-gate.sh LATTICE_ALGORITHM_CHECK env enforcement, hooks/pre-commit Bug-Retro check + staging-drift check. (2) lattice:20f2eb4 -- hooks/pre-commit Step -1 commit lock acquisition (--poll + trap EXIT/INT/TERM release). (3) lattice:922cf24 -- outer-held lock support: pre-commit honors LATTICE_LOCK_HOLDER env, autopilot.md + review.md document acquire-BEFORE-stage discipline. Three-layer conflation defense: pre-commit lock + Bug-Retro + staging-drift; combined with algorithm_check enforcement in write-review-gate.sh, the framework refuses commits that are unreviewed / retro-less on fix: / algorithm-undefended on consumer changes / concurrent with another commit / have drifted staged files. Synced via scripts/sync-skills.sh to consuming projects (pcc verified). All three lattice commits passed the new gates dogfood-style: 922cf24 specifically tested outer-held lock by pre-acquiring with LATTICE_LOCK_HOLDER set, and the pre-commit recognized + skipped re-acquisition. Pattern saved as feedback_concurrent_autopilot_staging.md (in pcc's claude memory) -- now enforced mechanically rather than by honor system.
2026-04-27T01:33:25Z	framework-redesign	IMPLEMENTED	SIMPLIFY-1	unified-attestation-format	Implemented per spec §15.1 + §18.1: write-review-gate.sh (lattice + pcc-synced) accepts attestations[] via .lattice/pending-attestations.json (preferred, multi-entry composable) or LATTICE_ATTESTATIONS env (single-source). Required fields per entry: kind, ref, verdict, rationale (>=10 chars, not in {n/a, idk, na, none, tbd, todo, same, "same as before"}, no in-gate duplicates by (kind, ref)). Optional: agent_id. Validation centralized in write-review-gate.sh; light shape check in append-attestation.sh helper. Pending file is consumed (single-use) when gate writes. JSON construction moved from heredoc to Python (eliminates quote-escaping risk as the structure grew). Pre-commit hook in lattice + pcc reads attestations[] from gate and surfaces them on success (no kind-specific verification yet -- F3 / F6 / F7 add their own pre-commit checks). Regression suite: scripts/test-attestation-format.sh covers 10 cases (no-attestation backward compat, single env entry, multi-entry file, invalid JSON / missing field / trivial rationale / too-short rationale / duplicate rejection, file-vs-env precedence, helper round-trip). Suite passes 10/10 in both lattice and pcc. F3 (peer-review wiring), F6 (bug-pattern propagation), F7 (retro-action tracking) now have a single attestation storage path to write into.
2026-04-27T02:32:16Z	framework-redesign	IMPLEMENTED	F3-peer-review-wiring	lattice-skill-prompts	F3 (peer-review wiring) lattice-side landed per spec §5 + §18 actions 1-4 + §20a Review-1. peer-review.md: new "Algorithmic-Tightening Requirements" section -- (A) mandatory query-knowledge.py invocation per algorithmic claim with example commands per claim type; (B) mandatory citation (regulatory standard / literature DOI-PMID / knowledge-graph fact ID / internal validation card) -- "generally accepted" downgraded to OPINION; (C) verdict format unchanged but blocking semantics for CONDITIONAL/FLAWED/INSUFFICIENT explicit; (D) persist verdict via append-attestation.sh peer-review (SIMPLIFY-1 unified format). New "If Property-Based Test (F2 Wave 1+)" tier per Review-1 path (b) -- peer-reviewer evaluates property as if it were a spec (precondition encodes real domain invariant + consequent regulator-defensible + boundary cases); properties without SOUND or CONDITIONAL-with-resolution verdict cannot enable in CI. review.md Step 1: new Agent D Peer-Reviewer (algorithmic-paths only) launched in parallel with architect/decision-auditor/requirement-reviewer when staged paths match .lattice/algorithm-paths.txt; convergence table extended with Peer-Reviewer SOUND/CONDITIONAL/FLAWED/INSUFFICIENT rows (CONDITIONAL/FLAWED/INSUFFICIENT all STOP the review); attestation-write happens AFTER mechanical checks pass and BEFORE write-review-gate.sh. architect.md Mode 2 (Gate): new Step 1.25 "Algorithmic-spec detection + peer-review (BLOCKING for algorithmic specs)" -- classifies spec on algorithmic axis (declares algorithm in scope OR modifies algorithm-paths file OR proposes new analytical method), launches peer-review BEFORE Spec Value Audit, blocks gate on non-SOUND verdict. This is the §5.1 "Trigger B -- Spec write" wiring; without it, algorithmic spec author can ship BUG-031-class spec waved through on architectural-merit grounds. pcc-side enforcement (pre-commit kind=peer-review attestation check when staged paths match algo regex) lands as the F3-pcc follow-up commit.
2026-04-27T02:48:50Z	framework-redesign	IMPLEMENTED	F7-skill-prompt	bug-stress-disposition-section	F7 (retro action-item tracking) lattice-side landed per spec §9. commands/ops/bug-stress.md: new "Question 5 -- disposition" subsection added after Question 5 / Lattice change. Each Lattice-change bullet MUST be dispositioned into (a) implemented-this-commit, (b) filed-to-todo with [from BUG-XXX] tag, (c) filed-to-escalation with explanation, or (d) not-applicable with prior-retro citation. Per-bullet attestation composed via append-attestation.sh retro-action with ref="BUG-XXX#5.<bullet-N>" BEFORE write-review-gate.sh. Documents that the pre-commit hook (Step 5b -- pcc-side) verifies the attestation chain and the periodic audit script (scripts/audit-retro-action-items.py -- pcc-side) lints pre-F7 entries for silently-abandoned bullets. References BUG-031 backfill as the canonical pre-F7-retroactive-annotation example.
2026-04-27T03:13:06Z	framework-redesign	IMPLEMENTED	F5-architect-wiring	lint-spec-step-1.4	F5 (spec linting) lattice-side wiring landed (companion to pcc lint-spec.py + tests). commands/lattice/architect.md: new Step 1.4 "Spec lint (F5 -- BLOCKING when --strict)" inserted before existing Step 1.5 (Spec Value Audit). Documents the 4-criterion contract per spec §7.1 (empirical claims cite data; behavioral requirements have tests; multi-feature reference SPEC-VALUE-AUDIT; algorithmic specs cite domain truth via knowledge-graph facts or query-knowledge.py); lists the per-criterion resolution path table; explains --strict semantics + waiver protocol (architect-reviewer-style memo recorded in decisions.log as spec-lint-waiver). Step 1.4 fires BEFORE Step 1.5 because empirical / behavioral / algorithmic-citation defects make Spec Value Audit comparisons unreliable -- a spec that fails citation hygiene is filtered first.
2026-04-27T03:40:48Z	framework-redesign	IMPLEMENTED	F6-skill-prompt	bug-stress-step-7.5-registry-update	F6 (bug-pattern propagation) lattice-side landed (companion to pcc-side: docs/_internal/knowledge/bug-patterns.md registry + scripts/audit-bug-patterns.py + pre-commit Step 0d). commands/ops/bug-stress.md: new Step 7.5 "Bug-pattern registry update (MANDATORY)" inserted between existing Step 3 (Pattern search) and Step 8 (Retrospective). After every bug fix retro, the author MUST add a new entry OR update an existing entry in docs/_internal/knowledge/bug-patterns.md (representative_instances list + applies_to glob + prevention_property F2 link + prevention_fact F1 link). Run audit-bug-patterns.py to verify registry validates. Pre-commit Step 0d (pcc-side) then enforces kind=bug-pattern attestations on commits whose staged paths match any registered pattern applies_to glob. Without the registry update, the hook cannot fire on the right files -- Step 7.5 is the wiring that makes Step 0d effective on new bug classes.
2026-04-28T19:46:12Z	arch-decision	DEFER	review.md-split	line-count-636	Pre-commit advisory flags review.md at 636 lines (30% over next-largest skill, design.md=488). Considered splitting Step 3b (~187 lines) into sibling skills. Rejected on verify-before-refactor grounds: (a) Step 3b is actually 4 distinct checks (Visual / Data / Triangle / Algorithm) with different triggers, so a clean split would be 4 skills not 1; (b) the Algorithm and Triangle checks anchor CLAUDE.md rule 18 -- pulling them into separate files severs the rule-anchor relationship readers depend on; (c) no agent has reported friction navigating the file; (d) advisory threshold is mechanical, not behavioral. Re-evaluation triggers: agent reports missing a sub-check, rule-18 readers fail to find protocol, or content collision between sub-checks.
2026-05-05T09:40:54-04:00	review	PASS	eef6dd7,84fb7954	files:9 deviations:0 deferred:5	audit-followup: 4 decision-auditor blockers fixed; 3 partials defended (or-clause sanction); 2 partials fixed (HIGH-6 universal validation, MEDIUM-3 trap-before-loop); 30/30 regression tests pass via npm test
2026-05-05T10:57:35-04:00	architect-gate	PASS-WITH-SIMPLIFY	lattice-self-fix	gate-step-2	Architect-reviewer cleared lattice/incoming/lattice-self-fix-2026-05-05.md with 4 SIMPLIFY (Risk None/Low auto-applied) + 1 reuse strengthening. Amendments: B1 commit to rename-as-CAS only; C3 drop feature-flag hedge; D1 import via sync-workflow-includes; D2 drop speculative cache; AC5 reframe regression gate not circular self-review. Ready for Stream A.
2026-05-07T00:00:00Z	peer-review	CONDITIONAL	dg-agentic-harness	findings:7 FLAWED:0 CONDITIONAL:5 SOUND:2	76% harness-grade figure is projected not current; TOML closes only 4 of 8 coupling defects; skill-drift mechanism unresolved; effort estimate arithmetic gap
2026-05-07T22:12:34-04:00	review	PASS	a5a78e4	files:4 deviations:0 deferred:1	ENH-09 {{include:optional:project.X.Y}} template form -- Phase 4 unblocked; ENH-12 (authoring conventions) remains queued
